Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,21.7500,24.3800,21.7500,23.5000,,,,
1999-11-02,23.9400,25.1300,23.7500,25.0000,,,,
1999-11-03,26.0000,28.1300,25.8100,27.4400,,,,
1999-11-04,27.7500,29.9400,27.7500,29.1900,,,,
1999-11-05,30.0000,30.2500,26.8800,28.2500,,,,
1999-11-08,27.3800,29.8800,26.5000,29.0600,,,,
1999-11-09,29.0000,29.1300,27.5000,28.6300,,,,
1999-11-10,28.7200,28.7500,27.8100,28.3800,,,,
1999-11-11,28.3800,31.8800,27.7500,30.3800,,,,
1999-11-12,31.6900,32.0000,29.8800,32.0000,,,,
1999-11-15,32.2200,33.1900,30.8800,31.3800,,,,
1999-11-16,32.1300,35.0000,32.0000,34.3800,,,,
1999-11-17,35.0000,37.5000,34.5000,35.6900,,,,
1999-11-18,36.4400,36.7500,35.5000,35.8100,,,,
1999-11-19,40.1300,44.3800,40.0000,42.8800,,,,
1999-11-22,43.9700,44.0000,40.2500,42.8100,,,,
1999-11-23,38.2500,40.1900,38.0000,39.7500,,,,
1999-11-24,39.5600,40.0000,35.5600,38.5000,,,,
1999-11-26,38.1300,38.5000,37.0000,38.2500,,,,
1999-11-29,38.1300,38.6300,36.0000,36.8800,,,,
1999-11-30,37.0000,37.6300,34.6300,34.6300,,,,
1999-12-01,34.6300,36.8800,34.6300,36.3800,,,,
1999-12-02,36.5000,39.5600,36.5000,39.0600,,,,
1999-12-03,39.4400,40.1300,37.6300,38.1300,,,,
1999-12-06,38.2500,39.3800,38.2500,39.1900,,,,
1999-12-07,39.5000,39.5600,36.3800,37.8800,,,,
1999-12-08,37.7500,39.9400,37.6300,39.5600,,,,
1999-12-09,39.5000,40.5000,37.0000,38.3800,,,,
1999-12-10,39.0600,39.2500,37.2500,37.9400,,,,
1999-12-13,37.5000,38.8100,37.0000,37.8100,,,,
1999-12-14,37.8800,38.8100,36.8100,37.1900,,,,
1999-12-15,36.9400,37.1300,35.1300,36.0000,,,,
1999-12-16,36.1900,36.7500,35.6300,35.7500,,,,
1999-12-17,36.7500,38.1900,36.5600,37.6300,,,,
1999-12-20,37.6900,41.1300,36.3800,40.7500,,,,
1999-12-21,40.7500,42.5600,39.2500,42.5000,,,,
1999-12-22,42.6300,44.0000,41.0000,43.5000,,,,
1999-12-23,43.5600,46.5000,43.3800,46.3800,,,,
1999-12-27,47.3800,47.4400,44.1300,44.6300,,,,
1999-12-28,44.6300,46.2500,44.3800,44.5000,,,,
1999-12-29,44.4100,46.5000,44.3800,46.0000,,,,
1999-12-30,46.0000,46.6900,45.2500,46.3800,,,,
1999-12-31,46.2800,47.0000,46.1300,46.9400,,,,
2000-01-03,47.2500,47.6300,45.2500,46.8100,,,,
2000-01-04,46.0000,46.1300,43.2500,45.5600,,,,
2000-01-05,44.2500,45.0000,43.7500,44.1900,,,,
2000-01-06,44.0600,44.0600,39.5000,41.1900,,,,
2000-01-07,41.0000,42.3100,40.3800,41.8800,,,,
2000-01-10,42.0000,45.0000,41.2500,43.2500,,,,
2000-01-11,43.0000,43.5000,41.5000,41.5000,,,,
2000-01-12,41.5000,41.5600,39.8800,40.4400,,,,
2000-01-13,40.3800,42.5000,39.8800,42.1300,,,,
2000-01-14,42.7500,45.6900,42.6300,43.9400,,,,
2000-01-18,44.5000,46.0000,42.5000,45.8100,,,,
2000-01-19,46.0000,46.0000,45.0000,45.3800,,,,
2000-01-20,45.7500,48.2500,44.8800,45.2500,,,,
2000-01-21,45.1300,45.3100,43.6300,44.7500,,,,
2000-01-24,46.1900,46.1900,42.5000,42.7500,,,,
2000-01-25,42.9400,43.3800,41.0000,42.3800,,,,
2000-01-26,42.3800,43.5000,39.8800,40.6300,,,,
2000-01-27,40.9400,40.9400,37.0000,38.5000,,,,
2000-01-28,38.0000,38.2500,35.8800,37.3800,,,,
2000-01-31,37.5600,38.3800,35.0000,37.0600,,,,
2000-02-01,37.1300,38.2500,35.7500,37.9400,,,,
2000-02-02,38.1300,39.7500,37.9400,39.0000,,,,
2000-02-03,40.2500,41.0600,39.3800,39.6300,,,,
2000-02-04,40.8800,40.8800,39.7500,40.5600,,,,
2000-02-07,40.7500,40.7500,38.0000,38.0600,,,,
2000-02-08,39.0000,41.2500,38.0000,39.8800,,,,
2000-02-09,41.3800,42.0600,40.8100,40.8800,,,,
2000-02-10,43.3800,50.0000,43.3800,49.2500,,,,
2000-02-11,51.6900,51.7500,46.3800,50.0000,,,,
2000-02-14,50.1200,58.0000,49.6300,58.0000,,,,
2000-02-15,58.1300,58.1900,53.3800,55.7500,,,,
2000-02-16,56.3800,60.2500,55.7500,58.3100,,,,
2000-02-17,58.0000,60.7500,57.5000,60.3800,,,,
2000-02-18,59.5000,68.2500,59.0600,67.3800,,,,
2000-02-22,65.2500,66.1300,63.0000,65.5000,,,,
2000-02-23,64.7500,66.5600,63.9400,65.8800,,,,
2000-02-24,66.2500,66.6900,62.5000,65.2500,,,,
2000-02-25,65.3100,65.3100,58.5000,61.1900,,,,
2000-02-28,60.8800,61.5000,59.7500,60.7500,,,,
2000-02-29,60.3800,64.7500,60.3800,64.0000,,,,
2000-03-01,64.0000,64.0000,61.1300,62.1300,,,,
2000-03-02,62.6300,62.6300,57.7500,57.9400,,,,
2000-03-03,58.0000,59.5000,57.5000,58.8800,,,,
2000-03-06,59.2500,63.7500,58.0000,58.5000,,,,
2000-03-07,74.7500,87.2500,71.7500,83.3100,,,,
2000-03-08,83.2700,84.7500,77.2500,84.0000,,,,
2000-03-09,85.0000,108.0000,84.7500,100.3000,,,,
2000-03-10,105.5000,145.0000,104.9000,118.0000,,,,
2000-03-13,107.0000,150.0000,107.0000,149.3000,,,,
2000-03-14,148.4000,148.4000,108.0000,110.1000,,,,
2000-03-15,118.0000,121.1000,102.0000,105.6000,,,,
2000-03-16,109.0000,112.8000,92.6300,94.1700,,,,
2000-03-17,92.0000,107.0000,91.9800,99.8800,,,,
2000-03-20,103.4000,107.1000,96.6300,99.8100,,,,
2000-03-21,100.0000,100.9000,87.0000,94.8800,,,,
2000-03-22,95.6300,98.5000,94.0000,95.5600,,,,
2000-03-23,94.6900,102.5000,94.5000,97.2500,,,,
2000-03-24,96.6200,101.0000,90.0000,93.1900,,,,
2000-03-27,93.0000,96.0000,86.2500,87.0600,,,,
2000-03-28,84.0600,85.0000,79.0000,80.5600,,,,
2000-03-29,80.8800,82.7500,72.0000,75.2500,,,,
2000-03-30,73.0000,81.7500,70.5000,74.8100,,,,
2000-03-31,79.9200,87.8800,78.5000,84.4800,,,,
2000-04-03,83.7200,84.0000,75.6900,77.8800,,,,
2000-04-04,81.5000,83.3800,57.0000,75.0000,,,,
2000-04-05,75.7500,97.5000,71.8800,91.6900,,,,
2000-04-06,95.9400,100.8000,91.3800,95.9400,,,,
2000-04-07,99.1900,105.0000,96.5000,102.6000,,,,
2000-04-10,104.3000,110.4000,91.5600,93.5000,,,,
2000-04-11,87.0000,95.0000,80.0000,87.9400,,,,
2000-04-12,88.0600,90.0000,78.5000,78.8100,,,,
2000-04-13,79.4400,82.2500,74.1300,75.4400,,,,
2000-04-14,70.6300,76.0600,65.5000,68.8000,,,,
2000-04-17,63.0000,75.0000,63.0000,72.3100,,,,
2000-04-18,79.5900,89.7500,77.2500,85.1300,,,,
2000-04-19,87.8100,89.0000,80.0000,81.0600,,,,
2000-04-20,83.2500,84.8100,79.5000,80.6300,,,,
2000-04-24,76.0000,79.3800,72.6300,76.6300,,,,
2000-04-25,80.0600,87.5000,79.8800,85.0000,,,,
2000-04-26,90.9400,93.0000,84.0000,84.1300,,,,
2000-04-27,78.5000,91.8800,78.0600,91.0000,,,,
2000-04-28,92.4400,96.0000,89.1300,89.1300,,,,
2000-05-01,92.5000,94.5000,89.8100,92.0000,,,,
2000-05-02,92.0000,97.3800,85.8800,88.4400,,,,
2000-05-03,87.8800,90.7500,80.0000,87.0000,,,,
2000-05-04,86.8100,91.7500,86.0600,88.0600,,,,
2000-05-05,87.6900,94.2500,86.5000,92.1300,,,,
2000-05-08,89.7500,93.0000,88.6300,88.7500,,,,
2000-05-09,90.2500,91.0000,85.0000,87.5000,,,,
2000-05-10,86.6300,86.6900,78.1300,78.8800,,,,
2000-05-11,80.0000,83.6900,78.9400,82.2500,,,,
2000-05-12,84.5000,89.0000,79.7500,79.7500,,,,
2000-05-15,79.3800,86.6300,75.5000,85.2500,,,,
2000-05-16,89.0000,96.6900,88.0000,94.0000,,,,
2000-05-17,99.0000,114.6000,98.9400,110.5000,,,,
2000-05-18,111.1000,112.9000,102.3000,103.0000,,,,
2000-05-19,100.0000,105.5000,99.2500,102.1000,,,,
2000-05-22,101.0000,108.8000,92.0600,108.8000,,,,
2000-05-23,106.0000,117.9000,104.3000,107.9000,,,,
2000-05-24,107.8000,109.5000,92.2500,106.5000,,,,
2000-05-25,108.1000,114.5000,103.7000,105.0000,,,,
2000-05-26,105.5000,108.4000,99.0000,105.5000,,,,
2000-05-30,108.4000,112.6000,107.9000,109.9000,,,,
2000-05-31,109.5000,116.0000,109.5000,112.8000,,,,
2000-06-01,117.5000,118.6000,114.4000,117.3000,,,,
2000-06-02,119.8000,133.0000,119.8000,131.6000,,,,
2000-06-05,131.4000,141.0000,126.1000,134.4000,,,,
2000-06-06,134.9000,139.9000,127.0000,127.7000,,,,
2000-06-07,126.8000,127.8000,120.1000,122.0000,,,,
2000-06-08,125.1000,125.3000,118.0000,122.9000,,,,
2000-06-09,125.3000,132.0000,123.4000,126.4000,,,,
2000-06-12,127.0000,128.1000,120.3000,123.1000,,,,
2000-06-13,119.6000,127.0000,119.0000,126.9000,,,,
2000-06-14,129.3000,130.0000,125.1000,126.8000,,,,
2000-06-15,126.4000,130.1000,119.6000,130.1000,,,,
2000-06-16,129.7000,150.0000,129.6000,149.8000,,,,
2000-06-19,149.4000,171.3000,145.6000,159.1000,,,,
2000-06-20,161.9000,163.8000,155.0000,157.0000,,,,
2000-06-21,154.6000,176.0000,154.6000,172.9000,,,,
2000-06-22,172.2000,175.8000,161.9000,163.5000,,,,
