Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2005-01-03,354.409,371.0715,354.409,370.1173,79.2399,11842921,0.0000,1.0
2005-01-04,364.5972,371.3782,360.8491,361.7351,77.4453,10059943,0.0000,1.0
2005-01-05,358.123,363.9158,351.8194,361.1217,77.314,16954266,0.0000,1.0
2005-01-06,357.7824,365.6195,356.1468,358.4297,76.7377,13446517,0.0000,1.0
2005-01-07,359.8269,373.1159,359.5202,368.584,78.9116,16969845,0.0000,1.0
2005-01-10,373.3203,377.4092,361.3601,363.575,77.8392,8748949,0.0000,1.0
2005-01-11,364.6994,364.6994,356.4535,358.1913,76.6866,7562134,0.0000,1.0
2005-01-12,355.0565,361.8031,350.9676,353.2164,75.6215,14471144,0.0000,1.0
2005-01-13,355.0565,358.123,353.6935,354.5112,75.8987,13579018,0.0000,1.0
2005-01-14,355.7379,356.4194,348.3097,349.843,74.8993,13240871,0.0000,1.0
2005-01-17,350.286,353.012,344.2208,348.5482,74.6221,16627639,0.0000,1.0
2005-01-18,350.9676,355.9083,347.0488,348.4119,74.5929,24124437,0.0000,1.0
2005-01-19,350.9676,353.046,348.2415,349.7067,74.8701,12841720,0.0000,1.0
2005-01-20,348.2415,350.763,343.5392,348.3778,74.5856,12692316,0.0000,1.0
2005-01-24,353.012,355.3971,344.1867,345.1748,73.8999,16274938,0.0000,1.0
2005-01-25,344.8342,347.7985,339.5185,341.6992,73.1557,25753804,0.0000,1.0
2005-01-27,344.1525,349.6045,342.7897,344.9704,73.8561,19629826,0.0000,1.0
2005-01-28,344.1525,357.0327,344.1525,356.249,76.2708,16599437,0.0000,1.0
2005-01-31,356.7602,364.461,356.0786,362.9958,77.7152,10334781,0.0000,1.0
2005-02-01,364.5972,372.741,361.258,369.7767,79.167,20762862,0.0000,1.0
2005-02-02,372.7751,373.1159,357.1008,363.8137,77.8903,8222761,0.0000,1.0
2005-02-03,364.5972,370.3898,364.5972,368.7544,78.9481,4228854,0.0000,1.0
2005-02-04,369.3676,371.6849,362.9277,365.5173,78.2551,7166149,0.0000,1.0
