Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-10-19,44.5000,49.3100,41.3700,49.2500,,,,
2000-10-20,49.2500,53.3100,48.8800,52.7500,,,,
2000-10-23,52.5000,52.5000,47.3800,48.3700,,,,
2000-10-24,48.6200,49.5000,48.3700,48.8800,,,,
2000-10-25,48.6900,49.2500,48.5000,48.8100,,,,
2000-10-26,48.9400,49.2500,47.3100,48.2500,,,,
2000-10-27,48.5000,49.9400,48.5000,49.7500,,,,
2000-10-30,49.7500,52.0000,49.6200,51.0600,,,,
2000-10-31,51.3100,54.2500,51.3100,52.6300,,,,
2000-11-01,52.7500,53.8800,52.7500,53.0000,,,,
2000-11-02,52.8700,54.2500,52.8700,54.2500,,,,
2000-11-03,54.3800,55.7500,54.3100,54.5000,,,,
2000-11-06,54.5000,54.5600,52.8700,52.8700,,,,
2000-11-07,52.8700,53.0000,52.1300,52.4400,,,,
2000-11-08,52.5600,56.3100,52.5600,55.9400,,,,
2000-11-09,55.8100,57.0000,55.5000,56.0600,,,,
2000-11-10,55.8100,55.8100,54.7500,54.7500,,,,
2000-11-13,54.5000,54.5000,52.3800,53.0000,,,,
2000-11-14,54.2500,56.2500,54.2500,56.0000,,,,
2000-11-15,56.0000,57.5000,55.2500,55.6300,,,,
2000-11-16,54.8700,56.0000,54.6900,55.8800,,,,
2000-11-17,55.8800,56.3700,55.5000,55.6300,,,,
2000-11-20,55.6300,59.0000,55.6300,58.9400,,,,
2000-11-21,59.6900,62.5000,59.6900,62.2500,,,,
2000-11-22,61.3700,61.4400,56.2500,56.7500,,,,
2000-11-24,57.0000,60.0000,57.0000,59.5000,,,,
2000-11-27,60.0000,61.7500,60.0000,60.5000,,,,
2000-11-28,59.8700,60.0000,58.6300,59.1900,,,,
2000-11-29,59.0600,59.6200,56.5600,56.8800,,,,
2000-11-30,56.5000,56.5000,53.2500,54.2500,,,,
2000-12-01,57.5000,60.2500,57.5000,59.0600,,,,
2000-12-04,58.8100,59.7500,58.6900,59.7500,,,,
2000-12-05,60.6300,66.1200,60.6300,65.5600,,,,
2000-12-06,64.5600,64.6200,61.0000,61.1200,,,,
2000-12-07,61.2500,65.0000,61.2500,63.6300,,,,
2000-12-08,64.6200,67.9400,64.6200,65.5000,,,,
2000-12-11,65.7500,66.9400,64.8700,66.8800,,,,
2000-12-12,66.8800,67.0000,65.6300,67.0000,,,,
2000-12-13,67.3800,68.4400,66.8800,67.6200,,,,
2000-12-14,67.3800,67.3800,65.1300,65.2500,,,,
2000-12-15,64.0000,64.0000,58.5000,59.8700,,,,
2000-12-18,60.8800,61.1200,58.2500,59.5000,,,,
2000-12-19,59.5000,59.5000,56.0000,56.5600,,,,
2000-12-20,55.3800,55.4400,52.0000,53.0000,,,,
2000-12-21,52.0000,55.0000,49.5000,53.1200,,,,
2000-12-22,52.3800,52.4400,49.8700,50.1200,,,,
2000-12-26,50.0600,50.5000,48.7500,48.9400,,,,
2000-12-27,48.9400,50.1900,48.9400,49.6200,,,,
2000-12-28,49.2500,50.5000,49.2500,49.8700,,,,
2000-12-29,50.2500,50.8800,50.0000,50.1200,,,,
2001-01-02,50.3800,50.6300,50.2500,50.4400,,,,
2001-01-03,50.5000,57.3800,50.5000,57.3800,,,,
2001-01-04,57.3800,58.0000,56.1200,57.0600,,,,
2001-01-05,57.2500,57.8700,55.7500,56.1200,,,,
2001-01-08,55.8800,56.1200,55.6300,55.8800,,,,
2001-01-09,56.1200,58.1900,56.1200,58.1200,,,,
2001-01-10,57.7500,59.2500,57.1300,57.7500,,,,
2001-01-11,57.2500,57.2500,55.0000,56.0600,,,,
2001-01-12,56.0600,57.4400,54.5000,55.3800,,,,
2001-01-16,56.7500,56.7500,55.0000,55.0000,,,,
2001-01-17,55.8800,58.0000,55.8100,57.3800,,,,
2001-01-18,57.7500,62.1900,57.7500,61.6900,,,,
2001-01-19,62.1300,64.5000,62.1300,63.1200,,,,
2001-01-22,64.1300,65.7500,60.5600,60.6300,,,,
2001-01-23,60.3800,60.3800,59.0000,59.6900,,,,
2001-01-24,60.6900,63.0000,60.6900,62.0600,,,,
2001-01-25,62.0600,62.0600,60.5000,60.5600,,,,
2001-01-26,59.4400,60.0000,58.2500,59.9400,,,,
2001-01-29,59.9000,60.1000,59.0000,59.5500,,,,
2001-01-30,61.5000,63.5000,61.0000,61.0000,,,,
2001-01-31,61.0000,62.5000,60.8000,61.8800,,,,
2001-02-01,61.8800,61.8800,60.5500,60.8100,,,,
2001-02-02,62.0600,62.0600,61.0300,61.4600,,,,
2001-02-05,61.4000,61.5500,60.8000,61.0000,,,,
2001-02-06,61.2500,61.6500,61.1000,61.1000,,,,
2001-02-07,61.0000,61.0000,60.0500,60.0600,,,,
2001-02-08,60.3300,62.5000,60.3300,62.1100,,,,
2001-02-09,62.5000,63.2500,62.5000,62.5100,,,,
2001-02-12,63.2500,64.7500,63.0400,63.1000,,,,
2001-02-13,63.2500,63.2500,62.2800,62.2800,,,,
2001-02-14,62.2000,62.2500,60.2600,60.2700,,,,
2001-02-15,61.0000,63.2500,61.0000,62.4500,,,,
2001-02-16,61.4500,62.0000,60.6500,62.0000,,,,
2001-02-20,62.0000,62.0000,59.5000,59.5000,,,,
2001-02-21,59.2500,60.5000,54.2500,55.0000,,,,
2001-02-22,55.2500,56.8000,55.2500,56.8000,,,,
2001-02-23,55.0000,55.2000,52.0500,55.2000,,,,
2001-02-26,56.0000,56.4000,54.0000,54.8900,,,,
2001-02-27,54.5000,54.5000,51.7900,52.2000,,,,
2001-02-28,53.5500,54.4400,53.5500,53.5900,,,,
2001-03-01,53.1000,53.6000,51.7500,53.6000,,,,
2001-03-02,47.0000,48.4500,45.6400,46.5000,,,,
2001-03-05,46.5000,47.7500,45.3000,46.6600,,,,
2001-03-06,46.9100,48.7500,46.9100,48.0000,,,,
2001-03-07,48.2500,49.4500,45.2500,45.2500,,,,
2001-03-08,45.2500,46.2500,45.0500,45.4500,,,,
2001-03-09,44.4500,44.6800,41.7500,43.4900,,,,
2001-03-12,39.6000,39.7000,36.6000,36.8500,,,,
2001-03-13,34.5000,35.6500,32.3000,35.2500,,,,
2001-03-14,34.2500,37.2000,33.8000,34.5000,,,,
2001-03-15,36.5000,37.5000,35.7500,36.9000,,,,
2001-03-16,36.0000,36.5500,35.9000,36.2500,,,,
2001-03-19,36.2500,36.2500,35.7500,36.0000,,,,
2001-03-20,35.8000,35.8000,34.7000,35.0000,,,,
2001-03-21,34.5000,34.6000,34.0000,34.0800,,,,
2001-03-22,34.0000,34.0000,33.0000,33.2000,,,,
2001-03-23,33.2000,33.2000,31.2000,31.6100,,,,
2001-03-26,32.0000,32.4500,32.0000,32.4400,,,,
2001-03-27,32.5400,34.7500,32.4000,34.7500,,,,
2001-03-28,34.5000,34.5000,33.2000,33.2700,,,,
2001-03-29,32.2700,32.7500,31.8500,32.7000,,,,
2001-03-30,32.0000,32.3000,31.0500,32.1000,,,,
2001-04-02,31.1000,31.1500,30.7000,31.0100,,,,
2001-04-03,31.0000,31.1500,30.5100,30.5600,,,,
2001-04-04,29.7500,29.7600,28.3000,28.6500,,,,
2001-04-05,28.7600,32.5000,28.7600,31.8300,,,,
2001-04-06,31.0000,31.0000,28.3500,28.5000,,,,
2001-04-09,28.0000,28.0000,26.6500,27.3000,,,,
2001-04-10,26.1500,28.2000,25.5000,26.0000,,,,
2001-04-11,21.0000,23.2500,20.4000,21.4000,,,,
2001-04-12,19.9000,23.9700,18.1100,23.8400,,,,
2001-04-16,24.3000,24.3000,23.5000,23.7300,,,,
2001-04-17,23.5000,23.9500,22.4500,23.1000,,,,
2001-04-18,26.5000,30.1000,26.5000,29.7200,,,,
2001-04-19,29.7200,29.7400,27.4000,29.5700,,,,
2001-04-20,31.7500,33.0000,28.7800,28.9900,,,,
2001-04-23,29.2500,29.2500,27.7500,28.4900,,,,
2001-04-24,30.0000,32.1500,30.0000,32.1400,,,,
2001-04-25,32.0000,36.0000,31.8000,36.0000,,,,
2001-04-26,31.1500,35.5500,30.0000,30.0000,,,,
2001-04-27,28.4000,29.7500,28.4000,29.1200,,,,
2001-04-30,30.1000,34.4500,30.1000,34.3800,,,,
2001-05-01,34.4500,36.0500,32.5000,35.9000,,,,
2001-05-02,36.6000,37.7500,34.6500,36.1400,,,,
2001-05-03,35.1500,35.1500,33.8300,34.8100,,,,
2001-05-04,34.5000,36.8000,34.3500,36.5500,,,,
2001-05-07,37.2500,38.9500,36.7300,38.1000,,,,
2001-05-08,38.7000,39.0000,36.4500,37.2000,,,,
2001-05-09,34.7500,34.9000,33.7600,34.1900,,,,
2001-05-10,34.4400,34.8500,34.0000,34.0000,,,,
2001-05-11,34.0000,34.0000,33.5800,33.5900,,,,
2001-05-14,33.5800,33.5800,32.1500,32.4400,,,,
2001-05-15,33.5000,35.9500,33.5000,35.7300,,,,
2001-05-16,35.6000,36.9900,35.0500,36.7100,,,,
2001-05-17,36.8000,36.9500,36.0000,36.3800,,,,
2001-05-18,36.2000,36.9500,36.0000,36.2500,,,,
2001-05-21,36.6000,37.1800,36.6000,36.8100,,,,
2001-05-22,37.2500,37.7000,36.6000,36.7400,,,,
2001-05-23,37.0500,37.0800,36.9600,36.9600,,,,
2001-05-24,37.2000,37.5600,37.2000,37.3700,,,,
2001-05-25,37.4800,37.4900,36.5000,37.4500,,,,
2001-05-29,37.8000,38.2500,37.5000,37.6500,,,,
2001-05-30,37.0000,37.0000,35.1300,36.1000,,,,
2001-05-31,36.0000,36.1000,36.0000,36.0100,,,,
2001-06-01,36.0100,36.0100,35.3000,35.7700,,,,
2001-06-04,35.5000,35.5000,33.5300,33.8000,,,,
2001-06-05,33.2000,33.9500,32.8000,33.8700,,,,
2001-06-06,34.1200,34.8500,33.8100,33.9800,,,,
2001-06-07,34.1000,35.4000,34.1000,34.9000,,,,
2001-06-08,35.1500,35.2000,34.5500,34.5900,,,,
2001-06-11,34.6000,35.0200,34.6000,34.8000,,,,
2001-06-12,36.0000,36.5400,35.8600,36.5300,,,,
2001-06-13,36.5300,37.1000,36.5300,36.9100,,,,
2001-06-14,36.7300,36.7300,34.7500,34.7500,,,,
2001-06-15,34.5000,34.5100,31.8000,31.9800,,,,
2001-06-18,31.9800,31.9800,31.2000,31.2000,,,,
2001-06-19,31.7500,32.3500,31.6000,31.8100,,,,
2001-06-20,31.7000,31.7000,31.0100,31.2500,,,,
2001-06-21,31.3200,31.3200,31.1000,31.2500,,,,
2001-06-22,30.9000,30.9000,30.0000,30.0100,,,,
2001-06-25,29.0000,29.0000,24.8500,26.4900,,,,
2001-06-26,26.7400,28.0000,26.7400,27.9500,,,,
2001-06-27,27.9900,28.2200,27.7500,28.0000,,,,
2001-06-28,28.0000,28.1900,27.6500,27.9400,,,,
2001-06-29,28.1900,28.1900,27.8900,27.9800,,,,
2001-07-02,27.0000,27.0000,25.2000,25.9000,,,,
2001-07-03,24.9900,25.3000,24.8200,25.0000,,,,
2001-07-05,25.0000,25.0000,24.8000,24.9800,,,,
2001-07-06,24.7500,24.9000,24.5000,24.6400,,,,
2001-07-09,24.6400,24.7000,24.6300,24.6900,,,,
2001-07-10,25.4500,25.5000,25.2900,25.2900,,,,
2001-07-11,25.2900,25.3000,25.1000,25.2900,,,,
2001-07-12,27.8000,28.0600,27.7000,27.8000,,,,
2001-07-13,27.7000,27.7700,26.9000,26.9000,,,,
2001-07-16,27.0000,27.6500,26.4000,27.5000,,,,
2001-07-17,27.3600,27.3600,26.7500,26.9000,,,,
2001-07-18,28.7500,28.8100,27.7500,27.9300,,,,
2001-07-19,28.0500,28.8000,28.0500,28.7500,,,,
2001-07-20,29.5000,29.7500,29.1600,29.2100,,,,
2001-07-23,28.5500,28.6500,28.3000,28.4100,,,,
2001-07-24,28.3000,28.3500,27.9900,27.9900,,,,
2001-07-25,28.0200,28.1900,28.0000,28.0700,,,,
2001-07-26,28.0700,28.3800,28.0000,28.2800,,,,
2001-07-27,28.2800,28.6500,28.2800,28.6400,,,,
2001-07-30,28.8500,30.2000,28.8500,30.0400,,,,
2001-07-31,30.7500,32.3600,30.7500,32.3600,,,,
2001-08-01,32.3600,32.8900,32.3000,32.8500,,,,
2001-08-02,33.5000,34.8000,33.5000,34.4900,,,,
2001-08-03,33.5000,33.5000,32.1000,32.5000,,,,
2001-08-06,32.5000,32.7000,32.3500,32.5500,,,,
2001-08-07,32.3600,32.7500,31.6500,32.3900,,,,
2001-08-08,32.1400,33.0000,32.0000,32.4800,,,,
2001-08-09,32.4000,32.5000,32.3500,32.5000,,,,
2001-08-10,30.5500,31.4500,30.5500,31.3600,,,,
2001-08-13,30.7500,31.1500,30.7500,31.0100,,,,
2001-08-14,31.5000,32.0000,31.5000,31.8700,,,,
2001-08-15,32.5000,32.5000,31.7500,31.7500,,,,
2001-08-16,31.7600,32.2500,31.7000,32.1500,,,,
2001-08-17,31.2000,31.5400,31.2000,31.5400,,,,
2001-08-20,30.6000,30.8500,30.5000,30.7000,,,,
2001-08-21,30.7000,31.1000,30.7000,30.8800,,,,
2001-08-22,30.8500,31.0000,30.6500,30.8900,,,,
2001-08-23,30.3500,31.4500,30.3500,31.0100,,,,
2001-08-24,32.2500,32.7700,32.1000,32.7000,,,,
2001-08-27,32.8000,33.3500,32.8000,33.1000,,,,
2001-08-28,32.7000,32.7500,32.2500,32.2500,,,,
2001-08-29,32.5000,32.6700,32.5000,32.6700,,,,
2001-08-30,32.6700,33.1000,32.5000,32.7500,,,,
2001-08-31,32.6000,32.6000,32.4000,32.5400,,,,
2001-09-04,32.7000,33.4500,32.7000,33.3100,,,,
2001-09-05,32.3000,32.4000,31.7000,31.9500,,,,
2001-09-06,31.2500,31.2900,31.0300,31.0300,,,,
2001-09-07,31.2500,31.3500,31.1300,31.2000,,,,
2001-09-10,31.0000,31.0000,30.6500,30.7600,,,,
2001-09-17,23.5000,25.3500,23.2500,23.8900,,,,
2001-09-18,23.9000,24.4000,23.2000,23.2000,,,,
2001-09-19,20.6000,20.6600,19.2000,19.6000,,,,
2001-09-20,18.7500,19.1300,18.5000,18.5000,,,,
2001-09-21,18.4000,18.5000,16.9900,16.9900,,,,
